	time_arr_filter	jy_lin	jy_ext	jy_unsc	jy_err_lin	jy_err_ext	jy_err_unsc	jy_steady_err	jz_lin	jz_ext	jz_unsc	jz_err_lin	jz_err_ext	jz_err_unsc	jz_steady_err	q_lin	q_ext	q_unsc	q_err_lin	q_err_ext	q_err_unsc	q_steady_err	p_lin	p_ext	p_unsc	p_err_lin	p_err_ext	p_err_unsc	p_steady_err
119	1.19	8.555966558032653	8.68931909520191	8.707118365746098	0.0005341612246614794	0.0005341612246614794	0.0005284827451029615	0.0005221525861347855	-0.8071053403126744	-0.8052298189369871	-0.8045463566545463	7.826167923644974e-06	7.826167923644974e-06	2.366337474367082e-05	7.827643911596658e-06	0.6538382246104888	0.6651924302008317	0.652214667638486	7.465306319950415e-05	7.465306319950415e-05	8.472987616831385e-05	7.47659996810701e-05	0.5935783321085967	0.643000076446858	0.6397445675035845	2.9270927066564218e-05	2.9270927066564218e-05	5.072300281267947e-05	2.886525339076556e-05
120	1.2	8.475404213408506	8.627979196537126	8.640758829365232	0.000533837253045526	0.000533837253045526	0.0005312616338128232	0.0005221525861347855	-1.3827505530184794	-1.3809292324121192	-1.3828073376418817	7.82614497888323e-06	7.82614497888323e-06	2.3685993522954615e-05	7.827643911596658e-06	0.6266548671651536	0.6331251168272656	0.6220876627075729	6.81693108945971e-05	6.81693108945971e-05	7.573474533009151e-05	6.837540302026356e-05	0.5964473795315705	0.6473559911865426	0.6396484121228891	3.574660340579824e-05	3.574660340579824e-05	5.8206040127748195e-05	3.525585005157212e-05
121	1.21	8.382913401367425	8.552154689089537	8.553660023387671	0.0005335247559866506	0.0005335247559866506	0.0005341740128084493	0.0005221525861347855	-1.9415886751560298	-1.9401117036221718	-1.943914942345013	7.826122909014703e-06	7.826122909014703e-06	2.370630190152958e-05	7.827643911596658e-06	0.5637453694754617	0.5660772040803272	0.5590779226671418	6.023910264124376e-05	6.023910264124376e-05	6.596384386209247e-05	6.050557084528492e-05	0.6050695168098787	0.6564776397607299	0.6402271215939556	4.366902029379776e-05	4.366902029379776e-05	6.648126135005434e-05	4.3125682226550736e-05
122	1.22	8.212767933607767	8.3964029608029	8.40030935535868	0.00053322332666642	0.00053322332666642	0.0005371618811740829	0.0005221525861347855	-2.3528569189108843	-2.351879198324736	-2.3513778346262524	7.82610151265663e-06	7.82610151265663e-06	2.372391585052411e-05	7.827643911596658e-06	0.5804372796306967	0.5799690478323706	0.5736573195942528	5.1569844213236034e-05	5.1569844213236034e-05	5.613518130967904e-05	5.185949182598753e-05	0.5967779809783494	0.6479217719073986	0.6341270555038967	5.233076776831686e-05	5.233076776831686e-05	7.485878330122918e-05	5.177176124584814e-05
123	1.23	8.056593404380461	8.251932150022215	8.248559164614408	0.0005329325654721378	0.0005329325654721378	0.0005401708003273728	0.0005221525861347855	-2.7625401783106556	-2.7616343615315255	-2.7639001213451215	7.826080862634645e-06	7.826080862634645e-06	2.3738661943319076e-05	7.827643911596658e-06	0.5342130781906375	0.5311639470197947	0.5277178998485078	4.2934928196304864e-05	4.2934928196304864e-05	4.695135703884004e-05	4.3209494450970245e-05	0.5888784876400702	0.6393571226455766	0.6216611986409639	6.0958442026206865e-05	6.0958442026206865e-05	8.266134171464382e-05	6.04217586208654e-05
124	1.24	7.831993831954807	8.037006841490415	8.039744216198915	0.0005326520867554602	0.0005326520867554602	0.0005431469568449402	0.0005221525861347855	-3.0202640936600833	-3.0196519032487243	-3.017805714265807	7.826060979542319e-06	7.826060979542319e-06	2.375029181207897e-05	7.827643911596658e-06	0.5687498519975661	0.56400860707916	0.5583629374995605	3.5104717551796004e-05	3.5104717551796004e-05	3.9049009664809966e-05	3.532825722387784e-05	0.5910308816381417	0.6406344266644598	0.6260235312601942	6.878166771263315e-05	6.878166771263315e-05	8.927512442549355e-05	6.830299584795783e-05
125	1.25	7.6342980225364645	7.8464513753224745	7.8441395963306935	0.0005323815201921846	0.0005323815201921846	0.0005460404062248468	0.0005221525861347855	-3.282464394331199	-3.2818110449730264	-3.2835874928118476	7.826041826791987e-06	7.826041826791987e-06	2.375868485465891e-05	7.827643911596658e-06	0.536291387913426	0.5298338827706508	0.5270892899208054	2.8777787629701842e-05	2.8777787629701842e-05	3.295611797864108e-05	2.8919787593902496e-05	0.5754180454685108	0.6238659288538551	0.6082616414946379	7.510185863206474e-05	7.510185863206474e-05	9.419237171729384e-05	7.471146547793319e-05
126	1.26	7.393284483579031	7.610701163350666	7.611112745884398	0.0005321205100118949	0.0005321205100118949	0.0005488021501206478	0.0005221525861347855	-3.432609320260191	-3.4322346456151354	-3.43154432618896	7.82602335812964e-06	7.82602335812964e-06	2.376377646500664e-05	7.827643911596658e-06	0.5520362014054223	0.5446865477735738	0.5416166646588291	2.451856640018284e-05	2.451856640018284e-05	2.9059426016448234e-05	2.4556535067057268e-05	0.581162073689278	0.6285908191758761	0.6144552627373597	7.935457749384651e-05	7.935457749384651e-05	9.704414180638494e-05	7.90747180047784e-05
127	1.27	7.162208449718588	7.382734961656536	7.381781399081258	0.0005318687139956245	0.0005318687139956245	0.0005513845999479552	0.0005221525861347855	-3.555321815766484	-3.5550454101311795	-3.555771145541499	7.826005535583174e-06	7.826005535583174e-06	2.3765405643658746e-05	7.827643911596658e-06	0.5428088390723099	0.5348825562100296	0.5332777498409169	2.270694358143601e-05	2.270694358143601e-05	2.7582724246330623e-05	2.262825599670308e-05	0.5725508726187996	0.619004796014844	0.6059020202603776	8.115992621103619e-05	8.115992621103619e-05	9.762228252907211e-05	8.100299707513259e-05
128	1.28	6.925780044802353	7.147689316525272	7.145098293229317	0.0005316258026110785	0.0005316258026110785	0.0005537405585322283	0.0005221525861347855	-3.634799166687518	-3.634755600467455	-3.635695425202686	7.825988328508054e-06	7.825988328508054e-06	2.3763737460611216e-05	7.827643911596658e-06	0.5342496082569899	0.52628960841835	0.5264428964789525	2.3504349158243825e-05	2.3504349158243825e-05	2.8576109427240597e-05	2.3307197809295296e-05	0.5636139715952286	0.6094866699871914	0.5982221097736958	8.03564669365038e-05	8.03564669365038e-05	9.589022053697419e-05	8.032405526254038e-05
